place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,place/url,createdAt,url,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,text,fullText,place/bounding_box/coordinates/0/2/0,place/country,twitterUrl
,,,,,,,,,,,,,2024-07-26 15:02:14+00:00,,,,,,"Guess the country! #UnitedStates #Sweden #Portugal #Australia #China #Poland #Indonesia #Germany #Bangladesh #Brazil #Egypt #UnitedKingdom #Nigeria #Switzerland #Japan #Finland
#washingtondc #padres #christiannodal #faculty #amberalert #corvettezr1 #randyarozarena #parkfire https://t.co/uWi8XSm3F3",,,https://twitter.com/no_context_poll/status/1816851526616256847
,,,,,,,,,,,,,2024-07-26 15:04:03+00:00,,,,,,Park Fire sparked by a burning car triples in size in a day. A 42-year-old man is arrested. The wildfire is now the largest in California this year. #wildfires #ParkFire  https://t.co/pdT86ZB6kn,,,https://twitter.com/Noparty1776/status/1816851986417066415
,,,,,,,,,,,,,2024-07-26 15:04:42+00:00,,,,,,"The Park Fire 164.282 burned acres. They are sending Military aircraft to drop water on the fire.
A few pics I took last night #ParkFireChico #ParkFire https://t.co/bjTBh4NLCt",,,https://twitter.com/code_sheready/status/1816852149353288020
,,,,,,,,,,,,,2024-07-26 15:05:54+00:00,,,,,,Some of the best imagery I’ve seen of just how fast the #ParkFire grew!,,,https://twitter.com/gregporter_wx/status/1816852451548627139
,,,,,,,,,,,,,2024-07-26 15:08:30+00:00,,,,,,Man accused of starting Park Fire with a burning car identified #ParkFire https://t.co/4DPwl1Bssv,,,https://twitter.com/MLAS/status/1816853103494463499
,,,,,,,,,,,,,2024-07-26 15:11:16+00:00,,,,,,"There is a morning update post for #ParkFire up on The Lookout website. It includes 2am map updates and some narrative descriptions, and a foreboding weather forecast. 7/26/2024 - 0800
 https://t.co/RWZBrftDuz",,,https://twitter.com/wildland_zko/status/1816853802659778586
,,,,,,,,,,,,,2024-07-26 15:12:56+00:00,,,,,,"Friday morning on the #ParkFire est 164,282 acres burned as of 8am mapping by @watchdutyapp #CAwx 7/26/2024 https://t.co/UGd4ooSCeD",,,https://twitter.com/RobMayeda/status/1816854222102827461
,,,,,,,,,,,,,2024-07-26 15:14:46+00:00,,,,,,"A lot of attention (and histrionics) was focused on the Cohasset Peak cameras last night as moderate fire walked through the area. 
Daybreak gives us a clear view of the fire effects. A few obvious things stand out. #ParkFire https://t.co/aPf5Py3488",,,https://twitter.com/Hotshot_Movie/status/1816854681668202880
,,,,,,,,,,,,,2024-07-26 15:19:50+00:00,,,,,,#ParkFire hitting the 36 today is increasingly likely.,,,https://twitter.com/Hotshot_Movie/status/1816855957156069700
,,,,,,,,,,,,,2024-07-26 15:30:07+00:00,,,,,,"Thinking about Chico and NorCal and all those affected by the #ParkFire 

Praying they get cooperative weather and enough Firefighters and resources to stop this fire soon. Stay safe out there!",,,https://twitter.com/JulianTyler/status/1816858545192861880
,,,,,,,,,,,,,2024-07-26 15:30:08+00:00,,,,,,This tweet from yesterday AM will become increasingly prescient this afternoon. #ParkFire,,,https://twitter.com/Hotshot_Movie/status/1816858549336559856
,,,,,,,,,,,,,2024-07-26 15:30:27+00:00,,,,,,The #ParkFire approached and burned passed the ALERTCalifornia Cohasset camera on 7/25. The camera is still operational and the live view is available at: https://t.co/hQc4yK899S Follow @CALFIRE_ButteCo for updates. https://t.co/yMMLFdzxWk,,,https://twitter.com/ALERTCalifornia/status/1816858629015810208
,,,,,,,,,,,,,2024-07-26 15:31:40+00:00,,,,,,"#ParkFire
Live update

https://t.co/T9BNUxIWHN",,,https://twitter.com/ELYSIANFEELS/status/1816858937268035651
