place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,,createdAt,,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,,,place/bounding_box/coordinates/0/2/0,place/country
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-09 13:25:41+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-09 17:11:47+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-09 17:27:14+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-82.849182,27.865251,-82.849182,27.943275,-82.696478,,-82.849182,Polygon,US,,,,,2024-08-10 15:52:26+00:00,,27.943275,27.865251,e54569d90c7032c0,,,,
-82.762703,27.807938,-82.762703,27.837259,-82.722462,,-82.762703,Polygon,US,,,,,2024-08-10 16:32:33+00:00,,27.837259,27.807938,003e43101ee277ad,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-10 19:48:50+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-10 19:59:47+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 06:58:02+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 07:52:36+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 08:18:32+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-0.185969,38.5011229,-0.185969,38.6102889,-0.0670386,,-0.185969,Polygon,ES,,,,,2024-08-11 13:55:52+00:00,,38.6102889,38.5011229,b282ba999468e474,,,,
-122.28853,37.443954,-122.28853,37.550633,-122.177339,,-122.28853,Polygon,US,,,,,2024-08-11 15:34:08+00:00,,37.550633,37.443954,a409256339a7c6a1,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 18:27:34+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-12 14:17:13+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-82.758209,27.694323,-82.758209,27.8971155,-82.587597,,-82.758209,Polygon,US,,,,,2024-08-12 15:13:59+00:00,,27.8971155,27.694323,5d231ed8656fcf5a,,,,
-79.087697,33.523442,-79.087697,33.572178,-79.016701,,-79.087697,Polygon,US,,,,,2024-08-13 01:05:11+00:00,,33.572178,33.523442,f5d9845d07a82c46,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-13 08:05:37+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-13 18:06:55+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-73.94838,41.735688,-73.94838,41.848195,-73.852278,,-73.94838,Polygon,US,,,,,2024-08-13 19:04:09+00:00,,41.848195,41.735688,01c3d12d4fe985e2,,,,
